12122,M P S KRANTI
12123,DECCAN QUEEN
12124,DECCAN QUEEN
12125,PRAGATI EXPR
12126,PRAGATI EXPR
12127,INTERCITY EX
12128,INTERCITY EX
12129,AZAD HIND EX
12130,HOWRAH PUNE
12131,DR SAINAGAR
12132,SAINAGAR DR
12133,CSMT-MAJN EX
12134,MAJN-CSMT EX
12135,PUNE-NGP EXP
12136,NGP-PUNE EXP
12137,PUNJAB MAIL
12138,PUNJAB MAIL
12139,SEWAGRAM EXP
12140,SEWAGRAM EXP
12141,LTT-PPTA EXP
12142,PPTA-LTT SF
12143,LTT-SLN SF E
12144,SLN LTT SF S
12145,LTT-PURI WEE
12146,PURI-LTT WEE
12147,KOP-NZM EXPR
12148,NZM-KOP EXPR
12149,PUNE-DNR EXP
12150,DNR-PUNE EXP
12151,SAMARSATA EX
12152,HWH-LTT SAMR
12153,LTT-HBJ EXPR
12154,HBJ-LTT EXPR
12155,SHAN-E-BPL E
12156,SHAN-E- BHOP
12157,HUTATMA EXPR
12158,HUTATMA EXPR
12159,AMI- JBP SUF
12160,JBP-AMI  SUF
12161,LASHKAR EXPR
12162,LASHKAR EXPR
12163,CHENNAI EXPR
12164,CHENNAI EXP
12165,LTT BSB SUP
12166,BSB LTT SUP
12167,LTT(T)-BSB S
12168,BSB-LTT SF E
12169,SUR INTERCIT
12170,PUNE INTERCI
12171,LTT - HW SUP
12172,HW - LTT SUP
12173,LTT-CNB EXPR
12174,CNB-LTT EXPR
12175,CHAMBAL EXP
12176,CHAMBAL EXPR
12177,CHAMBAL EXP
12178,CHAMBAL EXP
12179,INTERCITY
12180,INTERCITY
12181,JBP-AII DAYO
12182,AII-JBP DAYO
12183,BPL-PBH SUF
12184,PBH-BPL SUF
12185,HBJ-REWA REW
12186,REWA-HBJ REW
12187,MUMBAI GARIB
12188,JBP GARIB RA
12189,JBP-NZM MAHA
12190,NZM-JBP MAHA
12191,SHRIDHAM SUP
12192,JBP-NDLS SUF
12193,YPR-JBP WEEK
12194,JBP-YPR WEEK
12195,AF-AII INTER
12196,AII-AF INTER
12197,BPL-GWL-INTE
12198,GWL-BPL-INTE
12201,KCVL GARIB R
12202,LTT GARIB RA
12203,GARIB RATH
